movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
94209,˜˜˜˜˜˜˜-˜˜˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜ ˜˜˜˜˜˜˜,5.096,83,344.0,1986,3.4,4026.0,"[˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜]",[˜˜˜],,20.0,Surf Nazis Must Die
94214,˜˜˜˜˜˜ ˜˜˜˜ (˜˜),7.591,88,113.0,1994,6.5,389.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜],,,The Substitute Wife
94215,˜˜˜˜˜˜ ˜˜ ˜˜˜˜˜˜˜˜ (˜˜),6.032,94,105.0,1998,5.3,702.0,[˜˜˜˜˜˜˜],"[˜˜˜, ˜˜˜˜˜˜˜]",,,Dollar for the Dead
94216,˜˜˜˜˜˜ ˜˜˜˜˜˜˜: ˜˜˜˜˜˜ (˜˜˜˜˜),5.78,84,939.0,1999,4.5,3242.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜]",[˜˜˜],,,Dragonheart: A New Beginning
94217,˜˜˜˜˜˜˜ ˜˜˜˜,5.985,86,102.0,1969,5.6,2064.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜˜˜],,,La collina degli stivali
94219,˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜˜˜˜ (˜˜˜˜˜˜ 1974 ˜ 1977),7.916,82,1197.0,1974,7.8,63.0,"[˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜],,,
94221,˜˜˜˜˜˜ ˜˜˜˜˜ (˜˜˜˜˜˜ 1994 ˜ 1998),7.423,22,9650.0,1994,6.9,2370.0,"[˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜],,,Weird Science
94222,˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜ (˜˜˜˜˜˜ 1989 ˜ 1993),8.135,45,12853.0,1989,8.1,19190.0,"[˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜],,,Quantum Leap
94223,˜˜˜˜˜˜˜ ˜˜˜ (˜˜˜˜˜˜ 1983 ˜ 1987),8.011,43,5714.0,1983,7.6,23793.0,"[˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜]",[˜˜˜],,,The A-Team
94224,˜˜˜˜˜˜˜˜ ˜˜˜˜˜ (˜˜˜˜˜˜ 1999 ˜ 2006),7.671,43,427.0,1999,8.8,42338.0,[˜˜˜˜˜],[˜˜˜],$2˜000˜000,,The West Wing
94225,˜˜˜˜˜˜ ˜˜˜˜˜ (˜˜˜˜˜˜ 2000 ˜ 2002),7.879,43,4633.0,2000,7.4,23921.0,"[˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜],,,Dark Angel
94226,˜˜˜˜˜˜ ˜ ˜˜˜˜˜ ˜˜˜˜˜˜ ˜˜˜ (˜˜˜˜˜˜ 1997 ˜ 1999),6.381,43,1969.0,1997,6.9,1700.0,[˜˜˜˜˜],[˜˜˜],,,Sunset Beach
942280,˜˜˜˜ ˜˜˜˜˜ ˜ ˜˜˜ ˜˜˜˜˜ (˜˜˜˜˜˜),7.533,-,178.0,2015,,,[˜˜˜˜˜˜˜˜˜],[˜˜˜˜˜˜˜],,,
94229,˜˜˜˜˜ ˜˜˜˜˜˜˜˜˜˜,4.993,110,140.0,2004,3.8,156.0,[˜˜˜˜˜˜˜],[˜˜˜˜˜˜˜],˜3˜000,,Escuela de seducci?n
94230,˜˜˜˜˜ (˜˜),7.128,141,203.0,1993,7.8,7591.0,[˜˜˜˜˜],[˜˜˜],,100.0,And the Band Played On
94231,˜˜˜˜˜˜˜˜,8.02,95,2653.0,1963,8.1,11738.0,[˜˜˜˜˜],[˜˜˜˜˜˜],,92.0,Tystnaden
94232,˜˜˜˜˜,6.889,102,152.0,1975,6.4,541.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜, ˜˜˜˜˜˜]",,,Le gitan
94233,˜˜˜˜˜˜˜˜˜˜˜ ˜˜ ˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜,6.153,92,136.0,1968,6.9,134.0,"[˜˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜˜ (˜˜˜), ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",,,Die Lederstrumpferz?hlungen
94237,˜˜˜˜˜˜˜˜˜ (˜˜),7.043,94,377.0,1999,7.0,2749.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜],,,Purgatory
94239,˜˜˜˜˜˜ ˜˜˜˜˜˜˜,7.629,141,142.0,1989,6.9,15.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜]","[˜˜˜˜, ˜˜˜˜˜˜]",,,
942397,˜˜˜˜˜ ˜˜˜˜˜˜ (˜˜˜˜˜˜),7.801,-,4165.0,2015,,,[˜˜˜˜˜˜˜],[˜˜˜˜˜˜˜],,,
9424,˜˜˜˜˜ ˜ ˜˜˜˜˜˜˜,6.9,97,734.0,1997,6.4,1199.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜],$2˜500˜000,,Six Ways to Sunday
94241,"˜˜˜˜˜˜˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜: ˜˜ ˜˜˜, ˜˜ ˜˜˜˜˜... (˜˜)",7.979,133,1016.0,1980,7.4,47.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜],,,
94243,˜˜˜˜˜˜˜˜˜˜˜ ˜˜˜,7.527,87,450.0,1960,7.2,2293.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜˜˜],,,Dj?vulens ?ga
94245,˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜˜,7.086,133,107.0,1972,8.2,1376.0,[˜˜˜˜˜˜˜],[˜˜˜˜˜˜˜˜˜],,,Valter brani Sarajevo
94246,˜˜ ˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜˜ (˜˜),7.616,195,2459.0,2000,7.1,3033.0,"[˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜]","[˜˜˜˜˜˜˜˜˜, ˜˜˜]",$10˜000˜000,,On the Beach
94248,˜˜˜˜˜˜˜ ˜˜˜˜˜˜ (˜˜),6.751,90,1033.0,2000,5.8,1466.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜˜˜˜˜˜˜˜, ˜˜˜]",,,The Great Gatsby
94249,˜˜˜˜˜˜ ˜˜ ˜˜˜˜˜˜ (˜˜˜˜˜˜),8.634,60,17278.0,2001,9.6,214258.0,"[˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜˜˜˜˜˜˜˜˜˜˜˜, ˜˜˜]",$125˜000˜000,,Band of Brothers
9425,˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜,6.935,110,356.0,1997,7.3,18263.0,"[˜˜˜˜˜˜˜, ˜˜˜˜˜, ˜˜˜˜˜˜˜˜]",[˜˜˜],$10˜000˜000,88.0,The Spanish Prisoner
94251,˜˜˜˜˜˜˜˜,6.573,90,147.0,1979,5.6,359.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜˜˜˜],,,Le toubib
942544,˜˜˜˜˜˜˜˜˜˜ (˜˜˜˜˜˜ 2015 ˜ ...),8.56,22,3419.0,2015,9.3,24794.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜˜˜],,,One Punch Man: Wanpanman
942548,˜˜˜˜˜ (˜˜˜˜˜˜),7.634,24,211.0,2015,7.5,212.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜˜˜˜],,,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
94255,˜˜˜˜˜ ˜˜ ˜˜˜˜˜˜˜˜˜˜ ˜˜˜˜˜ (˜˜˜˜-˜˜˜˜˜˜),7.376,240,156.0,1989,6.9,474.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]","[˜˜˜, ˜˜˜˜˜˜˜˜˜˜˜˜˜˜]",,,Till We Meet Again
94258,˜˜˜˜˜ ˜ ˜˜2 (˜˜˜˜-˜˜˜˜˜˜),7.947,570,269.0,1986,8.1,3170.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜],,,"North and South, Book II"
94259,˜˜˜˜˜ ˜ ˜˜ (˜˜˜˜-˜˜˜˜˜˜),8.129,561,566.0,1985,8.1,6732.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜, ˜˜˜˜˜˜˜]",[˜˜˜],,,North and South
94261,˜˜˜˜˜˜˜˜ ˜˜˜˜ (˜˜˜˜-˜˜˜˜˜˜),6.602,314,245.0,1983,6.7,712.0,"[˜˜˜˜˜, ˜˜˜˜˜˜˜˜˜]",[˜˜˜˜˜˜˜˜˜˜˜˜˜˜],,,Mansfield Park
